CHURCHES_,CHURCHES_ID,PIN,OWNER_NAME,PROP_ADDR,BILL_ADDR,CITY_STATE,ZIP,EXEMPTCODE,ZONING,DENOMINATION,DENOM
111,18874,0471244010,FIRST PRESBYTERIAN CHURCH,633 TELFAIR ST,642 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
112,18912,0442105000,HILL BAPTIST CHURCH,2165 KINGS WAY,2165 KINGS WAY,"AUGUSTA, GA",30904,E2,01,BAPTIST,BAPTIST
113,18921,0471244000,FIRST PRESBYTERIAN CHURCH,631 TELFAIR ST,642 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
114,18925,0471245000,FIRST PRESBYTERIAN CHURCH THE,625 TELFAIR ST,623 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
115,18949,0471246000,FIRST PRESBYTERIAN CHURCH THE,623 TELFAIR ST,623 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
116,19096,0442122000,HILL BAPTIST CHURCH,2161 KINGS WAY,2165 KINGS WAY,"AUGUSTA, GA",30904,E2,01,BAPTIST,BAPTIST
117,19197,0471293000,FIRST PRESBYTERIAN CHURCH,642 TELFAIR ST,642 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
118,19274,0442217000,HILL BAPTIST CHURCH,2168 KINGS WAY,2165 KINGS WAY,AUGUSTA GA,30904,E2,01,BAPTIST,BAPTIST
119,19767,0410018010,MARKS BAPTIST CHURCH OF AUGUSTA GA INC,MARKS CHURCH RD,1405 MARKS CHURCH RD,AUGUSTA GA,30909,E2,02,BAPTIST,BAPTIST
120,19787,0390082030,PROVIDENCE BAPTIST CHURCH,WRIGHTSBORO RD,3481 TURNER DR,AUGUSTA GA,30909,E2,02,BAPTIST,BAPTIST
121,19790,0390082020,PROVIDENCE BAPTIST CHURCH,WRIGHTSBORO RD,3481 TURNER DR,AUGUSTA GA,30909,E2,02,BAPTIST,BAPTIST
122,19803,0390082010,PROVIDENCE BAPTIST CHURCH,WRIGHTSBORO RD,3481 TURNER DR,AUGUSTA GA,30909,E2,02,BAPTIST,BAPTIST
123,20297,0444001000,ST ANDREW PRESBYTERIAN CHURCH OF AUGUSTA INC,1430 ANTHONY RD,1430 ANTHONY RD,"AUGUSTA, GA",30904,E2,01,PRESBYTERIAN,PRESBYTERIAN
124,20331,0483010000,BROAD ST BAPTIST CHURCH,19 ELLIS ST,20 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
125,20403,0464061000,STRAIGHTWAY FULL GOSPEL BAPTIST CHURCH INC,808 ELEVENTH ST,P O BOX 355,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
126,20515,0483012000,BROAD ST BAPTIST CHURCH,29 ELLIS ST,20 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
127,20551,0483011000,BROAD ST BAPTIST CHURCH,ELLIS ST,20 BROAD ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
128,20692,0483031000,BROAD ST BAPTIST CHURCH,SIBLEY ST,20 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
129,20747,0483030000,BROAD ST BAPTIST CHURCH,15 ELLIS ST,20 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
130,21049,0444123000,ASBURY METHODIST CHURCH,1305 TROUPE ST,1305 TROUPE ST,"AUGUSTA, GA",30904,E2,01,METHODIST,METHODIST
131,21290,0464164000,BETHAL AFRICAN METHODIST CHURCH,835 BENNETT LN,P O BOX 131,AUGUSTA GA,30903,,01,METHODIST,METHODIST
132,21484,0463089000,TRUSTEES OF ONE WAY MISSIONARY BAPTIST CHURCH,1035 THIRTEENTH ST,P O BOX 9148,"AUGUSTA , GA",30916,E2,01,BAPTIST,BAPTIST
